white_elo,black_elo,eco,opening,result,num_plies,time_control
1523,1607,B06,Modern Defense,1-0,55,180+0
1500,1715,B21,Sicilian Defense: Smith-Morra Gambit,0-1,8,180+0
1055,1128,A03,Bird Opening: Dutch Variation,0-1,84,180+0
1848,1962,D30,Queen's Gambit Declined,0-1,49,180+0
1761,1762,C50,Italian Game: Hungarian Defense,1-0,69,180+0
1703,1742,B01,Scandinavian Defense,0-1,52,180+0
1274,1290,A00,Grob Opening,1-0,53,180+0
2329,2443,A10,English Opening: Great Snake Variation,1-0,119,180+0
1686,1651,B28,"Sicilian Defense: O'Kelly Variation, Yerevan System",1-0,97,180+0
1299,1336,A34,"English Opening: Symmetrical Variation, Normal Variation",1-0,129,180+0
1413,1436,C41,Philidor Defense,1-0,19,180+0
1267,1270,C40,King's Pawn Game: Gunderam Gambit,1-0,32,180+0
1745,1750,B20,Sicilian Defense,0-1,52,180+0
1337,1440,B50,Sicilian Defense: Modern Variations,1-0,49,240+8
2160,2321,C22,Center Game: Paulsen Attack Variation,1-0,73,60+0
1629,1568,B07,King's Pawn Game: Maróczy Defense,1-0,69,180+0
1606,1600,C25,Vienna Game,0-1,74,60+0
2090,2081,A00,Grob Opening,1-0,61,60+0
1484,1547,B06,Modern Defense,0-1,62,60+0
2279,2260,B01,Scandinavian Defense,0-1,92,60+0
2791,2768,A00,Hungarian Opening: Indian Defense,1-0,89,60+0
2361,2387,B00,Rat Defense: Antal Defense,0-1,62,60+0
1357,1288,A40,English Defense,1-0,49,60+0
2075,2070,C00,French Defense: Queen's Knight,0-1,66,60+0
2167,2210,C36,King's Gambit Accepted: Abbazia Defense,1-0,31,60+0
1763,1770,D04,Queen's Pawn Game: Colle System,1-0,37,60+0
1595,1548,B01,Scandinavian Defense: Valencian Variation,1-0,57,60+0
1389,1385,A02,Bird Opening,1-0,53,60+0
1676,1683,B08,Pirc Defense: Classical Variation,1-0,65,60+0
1792,1786,B01,Scandinavian Defense: Mieses-Kotroc Variation,1-0,131,60+0
1610,1658,A40,Queen's Pawn Game: Modern Defense,1-0,5,60+0
2344,2337,A13,English Opening: Agincourt Defense,1-0,77,60+0
1854,1834,A06,Zukertort Opening: Tennison Gambit,1-0,77,60+0
1407,1462,C00,French Defense: King's Indian Attack,0-1,40,60+0
1341,1310,C50,"Italian Game: Giuoco Pianissimo, Italian Four Knights Variation",1-0,22,1800+0
1694,1604,C34,King's Gambit Accepted: Fischer Defense,1-0,79,60+2
1826,1500,D55,Queen's Gambit Declined: Neo-Orthodox Variation,1-0,81,600+5
1370,1458,C23,Bishop's Opening,0-1,126,1500+0
1780,1837,B09,"Pirc Defense: Austrian Attack, Weiss Variation",0-1,70,180+0
1914,1922,B21,Sicilian Defense: Smith-Morra Gambit Accepted,0-1,134,180+0
1872,1847,A40,Queen's Pawn Game: Modern Defense,0-1,136,180+0
1730,1752,B00,"Nimzowitsch Defense: Kennedy Variation, Linksspringer Variation",0-1,96,180+0
1708,1719,D02,"Queen's Gambit Declined: Baltic Defense, Pseudo-Slav",1-0,95,180+0
1598,1650,C42,Petrov's Defense: Italian Variation,1-0,39,180+0
1443,1141,C23,Bishop's Opening: Philidor Counterattack,1-0,45,180+0
1828,1857,D15,Slav Defense: Three Knights Variation,1/2-1/2,52,180+0
2009,2058,B10,Caro-Kann Defense: Two Knights Attack,0-1,56,180+0
1747,1744,B06,Modern Defense,0-1,56,180+0
1769,1782,A51,Indian Defense: Budapest Defense,1-0,75,180+0
1665,1664,A00,Hungarian Opening: Catalan Formation,1-0,69,180+0
1731,1717,C23,Bishop's Opening: Khan Gambit,0-1,78,180+0
1365,1582,A00,Polish Opening,1-0,43,180+0
1219,1261,D01,Rapport-Jobava System,0-1,54,180+0
1809,1795,C01,"French Defense: Exchange Variation, Monte Carlo Variation",0-1,34,600+3
1952,1979,C00,French Defense: Schlechter Variation,0-1,68,600+0
919,969,B01,Scandinavian Defense: Mieses-Kotroc Variation,0-1,31,600+0
1080,1064,C41,Philidor Defense,1-0,34,600+0
1363,1271,C40,Elephant Gambit,1/2-1/2,97,600+0
